#;PSRJ;RAJ;DECJ;P0;P1;BINARY;PSR;NGLT;
;;(hms);(dms);(s);;(type);TYPE;;
1;J0002+6216;00:02:58.1;+62:16:09.4;0.115364;5.97e-15;*;HE[wcp+18];*;
2;J0006+1834;00:06:04.8;+18:34:59;0.693748;2.10e-15;*;*;*;
3;J0007+7303;00:07:01.7;+73:03:07.4;0.315873;3.60e-13;*;NRAD;1;
4;J0011+08;00:11:34;+08:10;2.552870;*;*;*;*;
5;J0014+4746;00:14:17.7;+47:46:33.4;1.240699;5.64e-16;*;*;*;
6;J0021-0909;00:21:51.4;-09:09:58.7;2.314131;1.04e-15;*;*;*;
7;J0023+0923;00:23:16.8;+09:23:23.8;0.003050;1.14e-20;ELL1;HE;*;
8;J0024-7204aa;00:24:05.6;-72:04:52.6;0.001840;*;*;*;*;
9;J0024-7204ab;00:24:08.1;-72:04:47.6;0.003705;9.82e-21;*;*;*;
10;J0024-7204ac;00:24:05.6;-72:04:05;0.002740;*;BT;*;*;
11;J0024-7204ad;00:24:05.6;-72:04:05;0.003740;*;BT;*;*;
12;J0024-7204C;00:23:50.3;-72:04:31.5;0.005757;-4.99e-20;*;*;*;
13;J0024-7204D;00:24:13.8;-72:04:43.8;0.005358;-3.42e-21;*;*;*;
14;J0024-7204E;00:24:11.1;-72:05:20.1;0.003536;9.85e-20;DD;*;*;
15;J0024-7204F;00:24:03.8;-72:04:42.8;0.002624;6.45e-20;*;*;*;
16;J0024-7204G;00:24:07.9;-72:04:39.7;0.004040;-4.22e-20;*;*;*;
17;J0024-7204H;00:24:06.7;-72:04:06.8;0.003210;-1.83e-21;DD;*;*;
18;J0024-7204I;00:24:07.9;-72:04:39.6;0.003485;-4.59e-20;ELL1;*;*;
19;J0024-7204J;00:23:59.4;-72:03:58.7;0.002101;-9.79e-21;BTX;*;*;
20;J0024-7204L;00:24:03.7;-72:04:56.9;0.004346;-1.22e-19;*;*;*;
21;J0024-7204M;00:23:54.4;-72:05:30.7;0.003677;-3.84e-20;*;*;*;
22;J0024-7204N;00:24:09.1;-72:04:28.8;0.003054;-2.19e-20;*;*;*;
23;J0024-7204O;00:24:04.6;-72:04:53.7;0.002643;3.03e-20;BTX;*;*;
24;J0024-7204P;00:24:20;-72:04:10;0.003643;6.64e-19;BT;*;*;
25;J0024-7204Q;00:24:16.4;-72:04:25.1;0.004033;3.40e-20;ELL1;*;*;
26;J0024-7204R;00:24:07.5;-72:04:50.3;0.003480;1.48e-19;ELL1;*;*;
27;J0024-7204S;00:24:03.9;-72:04:42.3;0.002830;-1.21e-19;ELL1;*;*;
28;J0024-7204T;00:24:08.5;-72:04:38.9;0.007588;2.94e-19;ELL1;*;*;
29;J0024-7204U;00:24:09.8;-72:03:59.6;0.004343;9.52e-20;ELL1;*;*;
30;J0024-7204V;00:24:05.6;-72:04:52.6;0.004810;*;BTX;*;*;
31;J0024-7204W;00:24:06.0;-72:04:49.0;0.002352;-8.66e-20;BTX;*;*;
32;J0024-7204X;00:24:22.3;-72:01:17.4;0.004772;1.84e-20;ELL1;*;*;
33;J0024-7204Y;00:24:01.4;-72:04:41.8;0.002197;-3.52e-20;ELL1;*;*;
34;J0024-7204Z;00:24:06.0;-72:05:01.4;0.004554;-4.54e-21;*;*;*;
35;J0026-1955;00:26:36;-19:55:59;1.306150;*;*;*;*;
36;J0026+6320;00:26:50.5;+63:20:00.8;0.318358;1.51e-16;*;*;*;
37;J0030+0451;00:30:27.4;+04:51:39.7;0.004865;1.02e-20;*;HE[btlb00,aaa+09e];*;
38;J0033+57;00:33;+57;0.315000;*;*;*;*;
39;J0033+61;00:33;+61;0.912000;*;*;*;*;
40;J0034-0534;00:34:21.8;-05:34:36.7;0.001877;4.97e-21;ELL1;HE[aaa+10b];*;
41;J0034-0721;00:34:08.8;-07:21:53.4;0.942951;4.08e-16;*;*;*;
42;J0034+69;00:34;+69:43;0.036804;*;*;*;*;
43;J0036-1033;00:36:15.0;-10:33:14.2;0.900009;2.13e-16;*;*;*;
44;J0038-2501;00:38:10.2;-25:01:30.7;0.256926;7.60e-19;*;*;*;
45;J0039+35;00:39:06;+35:45;0.536700;*;*;*;*;
46;J0040+5716;00:40:32.3;+57:16:24.8;1.118225;2.88e-15;*;*;*;
47;J0043-73;00:43:25;-73:11;0.937429;*;*;*;*;
48;J0045-7042;00:45:25.6;-70:42:07.1;0.632336;2.49e-15;*;*;*;
49;J0045-7319;00:45:35.1;-73:19:03.0;0.926276;4.46e-15;BT;*;*;
50;J0048+3412;00:48:33.9;+34:12:08.0;1.217094;2.35e-15;*;*;*;
51;J0050+03;00:50:31;+03:48;1.366560;*;*;*;*;
52;J0051+0423;00:51:30.1;+04:22:49;0.354732;7.00e-18;*;*;*;
53;J0052-72;00:52:28;-72:05;0.191444;*;*;*;*;
54;J0054+66;00:54;+66;1.390000;*;*;RRAT;*;
55;J0054+69;00:54:28;+69:26;*;*;*;RRAT[kkl+15];*;
56;J0054+6946;00:54:59.1;+69:46:16.8;0.832911;7.19e-16;*;*;*;
57;J0055+5117;00:55:45.3;+51:17:24.6;2.115171;9.54e-15;*;*;*;
58;J0056+4756;00:56:25.5;+47:56:10.5;0.472037;3.33e-15;*;*;*;
59;J0057-7201;00:57:44.0;-72:01:19;0.738062;1.00e-16;*;*;*;
60;J0058+4950;00:58:09.9;+49:50:26.0;0.996023;8.04e-16;*;*;*;
61;J0058+6125;00:58;+61:25;0.637000;*;*;*;*;
62;J0058-7218;00:58:16.7;-72:18:06;0.021766;2.89e-14;*;NRAD[met+21];*;
63;J0059+69;00:59:30;+69:55;1.145900;*;*;*;*;
64;J0100-7211;01:00:43.0;-72:11:33.6;8.020392;1.88e-11;*;AXP,NRAD;*;
65;J0100+8023;01:00:16.0;+80:23:41.7;1.493601;3.54e-16;*;*;*;
66;J0101-6422;01:01:11.1;-64:22:30.1;0.002573;5.16e-21;BT;HE;*;
67;J0102+4839;01:02:50.6;+48:39:42.7;0.002960;1.17e-20;BT;HE;*;
68;J0102+6537;01:02:32.9;+65:37:13.4;1.679164;5.95e-15;*;*;*;
69;J0103+54;01:03:37;+54:02;0.354304;*;*;RRAT[kkl+15];*;
70;J0104+64;01:04;+64;1.386000;*;*;*;*;
71;J0106+4855;01:06:25.0;+48:55:51.8;0.083157;4.28e-16;*;HE;*;
72;J0107+1322;01:07:39.9;+13:22:31.7;1.197383;6.87e-16;*;*;*;
73;J0108-1431;01:08:08.3;-14:31:50.1;0.807565;7.70e-17;*;*;*;
74;J0108+6608;01:08:22.5;+66:08:34.4;1.283660;1.31e-14;*;*;*;
75;J0108+6905;01:08:29.5;+69:05:52.6;1.071118;4.81e-17;*;*;*;
76;J0110-22;01:10;-22;1.262000;*;*;*;*;
77;J0111+6624;01:11:21.8;+66:24:10.8;4.301872;8.36e-15;*;*;*;
78;J0111-7131;01:11:28.7;-71:31:46.8;0.688542;7.09e-15;*;*;*;
79;J0113-7220;01:13:11.0;-72:20:32.2;0.325883;4.86e-15;*;*;*;
80;J0115+6325;01:15:45.8;+63:25:50.8;0.521455;1.60e-15;*;*;*;
81;J0117+5914;01:17:38.6;+59:14:38.3;0.101439;5.85e-15;*;*;*;
82;J0121+53;01:21;+53:29;2.724785;*;*;RRAT[gac+21];*;
83;J0122+1416;01:22:01.3;+14:16:17;1.388994;3.80e-15;*;*;*;
84;J0125-2327;01:25:10;-23:27:26;0.003676;*;*;*;*;
85;J0125+62;01:26;+62:35;1.708233;*;*;*;*;
86;J0131-7310;01:31:28.5;-73:10:09.3;0.348124;1.76e-15;*;*;*;
87;J0133-6957;01:33:32.4;-69:57:29.6;0.463474;1.20e-16;*;*;*;
88;J0134-2937;01:34:18.6;-29:37:17.0;0.136962;7.84e-17;*;*;*;
89;J0137+1654;01:37:23.8;+16:54:42.1;0.414763;1.22e-17;*;*;*;
90;J0137+6349;01:37:13.3;+63:49:34.3;0.717963;9.60e-16;*;*;*;
91;J0139+3336;01:39:57.2;+33:36:59.7;1.247961;2.06e-15;*;RRAT[ttm18];*;
92;J0139+5621;01:39:38.5;+56:21:36.8;1.775344;7.91e-14;*;*;*;
93;J0139+5814;01:39:19.7;+58:14:31.8;0.272451;1.07e-14;*;*;*;
94;J0141+6009;01:41:39.9;+60:09:32.3;1.222949;3.91e-16;*;*;*;
95;J0141+63;01:41;+63:08;0.046686;*;*;*;*;
96;J0146+31;01:46:15;+31:04;0.938100;*;*;*;*;
97;J0146+6145;01:46:22.4;+61:45:02.8;8.688994;1.99e-12;*;AXP,NRAD;3;
98;J0147+5922;01:47:44.6;+59:22:03.2;0.196321;2.57e-16;*;*;1;
99;J0151-0635;01:51:22.7;-06:35:02.9;1.464665;4.43e-16;*;*;*;
100;J0152+0948;01:52:23.7;+09:48:10;2.746647;1.70e-15;*;*;*;
101;J0152-1637;01:52:10.8;-16:37:53.6;0.832742;1.30e-15;*;*;*;
102;J0154+1833;01:54:36.8;+18:33:50.7;0.002365;2.92e-21;*;*;*;
103;J0156+04;01:56:01;+04:02;*;*;*;RRAT[dsm+16];*;
104;J0156+3949;01:56:55.2;+39:49:29;1.811561;1.52e-16;*;*;*;
105;J0157+6212;01:57:49.9;+62:12:26.6;2.351745;1.89e-13;*;*;3;
106;J0158+21;01:58:29;+21:08;0.505300;*;*;*;*;
107;J0201+7005;02:01:41.3;+70:05:18.1;1.349184;5.51e-15;*;RRAT[kkl+15];*;
108;J0203-0150;02:03:33.9;-01:50:01.5;0.005173;1.43e-20;ELL1;*;*;
109;J0205+6449;02:05:37.9;+64:49:41.3;0.065716;1.94e-13;*;HE;9;
110;J0206-4028;02:06:01.2;-40:28:03.6;0.630551;1.20e-15;*;*;*;
111;J0209+5759;02:09:37.3;+57:59:45.3;1.063906;1.39e-14;*;*;*;
112;J0210+5845;02:10:55.4;+58:45:04;1.766208;1.34e-13;*;*;*;
113;J0211-8159;02:11:59.0;-81:59:36.2;1.077333;2.90e-16;*;*;*;
114;J0212+5222;02:12:52.1;+52:22:49.5;0.376386;6.60e-15;*;*;*;
115;J0214+5222;02:14:55.2;+52:22:40.9;0.024575;2.99e-19;BT;*;*;
116;J0215+6218;02:15:56.6;+62:18:33.3;0.548880;6.62e-16;*;*;1;
117;J0218+4232;02:18:06.3;+42:32:17.3;0.002323;7.74e-20;ELL1;HE[khvb98,aaa+09f];*;
118;J0220+3626;02:20:42.1;+36:26:55.7;1.029700;*;*;*;*;
119;J0229+20;02:29:03;+20:58;0.806900;*;*;*;*;
120;J0231+7026;02:31:13.9;+70:26:33.8;1.466820;3.11e-15;*;*;*;
121;J0241+16;02:41:46;+16:04;1.545400;*;*;*;*;
122;J0242+62;02:42:35;+62:56:50;0.592000;*;*;*;*;
123;J0243+6027;02:43;+60:27;1.473000;*;*;*;*;
124;J0244+14;02:44:51;+14:27;2.128100;*;*;*;*;
125;J0248+4230;02:48:31.0;+42:30:20.4;0.002601;1.69e-20;*;HE[brj+21];*;
126;J0248+6021;02:48:18.6;+60:21:34.7;0.217094;5.51e-14;*;HE[tpc+11];*;
127;J0250+5854;02:50:17.7;+58:54:01.3;23.535378;2.72e-14;*;*;*;
128;J0251+2606;02:51:02.5;+26:06:09.9;0.002542;7.57e-21;ELL1;HE[cck+16];*;
129;J0255-5304;02:55:56.2;-53:04:21.2;0.447708;3.13e-17;*;*;*;
130;J0301+35;03:01;+35;0.146800;*;*;*;*;
131;J0302+2252;03:02:31.9;+22:52:12.1;1.207165;8.25e-17;*;*;*;
132;J0304+1932;03:04:33.1;+19:32:51.4;1.387584;1.30e-15;*;*;*;
133;J0305+11;03:05:06;+11:23;0.862100;*;*;*;*;
134;J0307+7443;03:07:55;+74:43:12;0.003160;*;*;HE[hrm+11,aab+22];*;
135;J0312-0921;03:12:06.2;-9:21:56;0.003704;1.97e-20;BT;HE[trr+21,aab+22];*;
136;J0317+13;03:17:54;+13:29;1.974300;*;*;*;*;
137;J0318+0253;03:18:15.5;+02:53:01.4;0.005190;1.76e-20;*;HE[wlz+18];*;
138;J0323+3944;03:23:26.6;+39:44:52.4;3.032072;6.36e-16;*;*;*;
139;J0324+5239;03:24:55.4;+52:39:31.3;0.336620;3.81e-16;*;*;*;
140;J0325+6744;03:25:05.1;+67:44:59.3;1.364679;1.55e-15;*;*;*;
141;J0329+1654;03:29:08.5;+16:54:02;0.893320;2.15e-16;*;*;*;
142;J0332+5434;03:32:59.4;+54:34:43.3;0.714520;2.05e-15;*;*;*;
143;J0335+4555;03:35:16.6;+45:55:53.4;0.269201;7.35e-18;*;*;*;
